,device_hw_proc,device_hw_ram,device_hw_display,device_hw_video,device_os_name,device_os_version
174507,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,16GB,1920x1080,Intel(R) HD Graphics 530,Microsoft Windows 10 Pro,10.0.14393  Build 14393
732516,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,8GB 2147483648,"1920x1080 96,96 32","NVIDIA GeForce GT 710, PCI\VEN_10DE&DEV_128B&SUBSYS_118B10DE&REV_A1\4&2DF26D26&0&0008",Microsoft Windows 10 Pro,10.0.15063  Build 15063
17829,x64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz,3GB 2147483648,"1920x1080 96,96 32","NVIDIA GeForce GTX 660  , PCI\VEN_10DE&DEV_11C0&SUBSYS_099510DE&REV_A1\4&3834D97&0&0008",Microsoft Windows 7 Ultimate K ,6.1.7601 Service Pack 1 Build 7601
648613,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,8GB,1920x1080,Intel(R) HD Graphics 520,Microsoft Windows 10 家庭中文版,10.0.15063  Build 15063
311256,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,8GB,1920x1080,NVIDIA Quadro K600,Microsoft Windows 8.1 專業版,6.3.9600  Build 9600
419565,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,6GB,1920x1080,Intel(R) HD Graphics 620,Майкрософт Windows 10 Домашняя для одного языка,10.0.14393  Build 14393
147698,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,8GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 630, PCI\VEN_8086&DEV_591B&SUBSYS_836B103C&REV_04\3&11583659&0&10",Microsoft Windows 10 Home,10.0.14393  Build 14393
36303,Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz,4GB,1366x768,AMD Radeon HD 7400M Series,Microsoft Windows 10 Pro,10.0.10586  Build 10586
164980,Intel(R) Core(TM) i5 CPU         650  @ 3.20GHz,8GB,1920x1200,DameWare Development Mirror Driver 64-bit,Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601
647315,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,16GB,1920x1080,NVIDIA GeForce GTX 650,Microsoft Windows 10 Home,10.0.15063  Build 15063
460542,Intel64 Family 6 Model 26 Stepping 5 Intel(R) Xeon(R) CPU           W3550  @ 3.07GHz,6GB 1073741824,"1280x800 96,96 32, 1280x800 96,96 32","NVIDIA Quadro 2000, PCI\VEN_10DE&DEV_0DD8&SUBSYS_084A10DE&REV_A1\4&165B8C32&0&0018, \\.\DISPLAY1",Microsoft Windows 10 Enterprise 2016 LTSB,10.0.14393  Build 14393
504522,x64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,3GB 13452731998011392,"1280x1024 96,96 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_1912&SUBSYS_86941043&REV_06\3&11583659&0&10",Microsoft Windows 7 Максимальная ,6.1.7601 Service Pack 1 Build 7601
624732,Intel64 Family 6 Model 142 Stepping 9 Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 620, PCI\VEN_8086&DEV_5916&SUBSYS_36D817AA&REV_02\3&11583659&0&10",Microsoft Windows 10 Home,10.0.15063  Build 15063
38677,Intel(R) Core(TM) i5-2450M CPU @ 2.50GHz,4GB,1366x768,Intel(R) HD Graphics 3000,Microsoft Windows 10 Enterprise,10.0.10240  Build 10240
295878,Intel64 Family 6 Model 69 Stepping 1 Intel(R) Core(TM) i7-4500U CPU @ 1.80GHz,8GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics Family, PCI\VEN_8086&DEV_0A16&SUBSYS_05EB1028&REV_09\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.15063  Build 15063
