Graphics,Market,Processor
Iris Plus Graphics 640,Mobile,Core i5-7260U
,,Core i5-7360U
,,Core i7-7560U
,,Core i7-7660U
Iris Plus Graphics 650,,Core i3-7167U
,,Core i5-7267U
,,Core i5-7287U
,,Core i7-7567U
UHD Graphics 630,Desktop,Core i3-8100
,,Core i3-8350K
,,Core i5-8400
,,Core i5-8600K
,,Core i7-8700
,,Core i7-8700K
Unknown,Mobile,Celeron 1005M
Unknown,Mobile,Celeron 1019Y
Unknown,Mobile,Celeron 3215U
Unknown,Desktop,Celeron 4x0
Unknown,Mobile,Celeron 5x0
,Mobile,Celeron 743
,Mobile,Celeron 900
,Mobile,Celeron 925
,Desktop,Celeron E3x00
,Desktop,Celeron G16x0
,Desktop,Celeron G1620T
,Desktop,Celeron G465
,Desktop,Celeron G555
,Mobile,Celeron Dual-Core T3xxx
,Desktop,Core i3- 5x0
,Mobile,Core i3- M 3x0
,Mobile,Core i3-3227U
,Desktop,Core i3-43x0
,Desktop,Core i5- 6x0
,Desktop,Core i5- 661
,Mobile,Core i5- M 4x0
,Mobile,Core i5- M 5x0
,Mobile,Core i5-3437U
,Mobile,Core i5-4210x
,Mobile,Core i5-4xxxU
,Desktop,Core i5-4460
,Desktop,Core i5-4460T
,Desktop,Core i5-4460S
,Desktop,Core i5-4590
,Desktop,Core i5-4590x
,Desktop,Core i5-4690
,Desktop,Core i5-4690K
,Desktop,Core i5-4690S
,Desktop,Core i5-4690T
,Mobile,Core i5-6198DU
,Mobile,Core i7- M 6x0
,Mobile,Core i7- U 6x0
,Mobile,Core i7-26xxM
,Mobile,Core i7-45xxU
,Mobile,Core i7-47xxHQ
,Desktop,Core i7-4790
,Desktop,Core i7-4790K
,Desktop,Core i7-4790S
,Desktop,Core i7-4790T
,Mobile,Core i7-48x0HQ
,Mobile,Core i7-6498DU
,Desktop,Core2 Duo Exxxx
,Mobile,Core2 Duo Lxxxx
,Mobile,Core2 Duo Pxxxx
,Mobile,Core2 Duo Txxxx
